city,latitude,longitude,year,month,day,temperature
New York,40.6943,-73.9249,2018,7,29,24.03
New York,40.6943,-73.9249,2018,7,30,23.41
New York,40.6943,-73.9249,2018,7,31,25.72
New York,40.6943,-73.9249,2018,8,1,27.09
New York,40.6943,-73.9249,2018,8,2,26.16
New York,40.6943,-73.9249,2018,8,3,25.5
New York,40.6943,-73.9249,2018,8,4,27.46
New York,40.6943,-73.9249,2018,8,5,28.33
New York,40.6943,-73.9249,2018,8,6,27.89
New York,40.6943,-73.9249,2018,8,7,27.02
New York,40.6943,-73.9249,2018,8,8,27.42
New York,40.6943,-73.9249,2018,8,9,26.98
New York,40.6943,-73.9249,2018,8,10,25.06
New York,40.6943,-73.9249,2018,8,11,24.52
New York,40.6943,-73.9249,2018,8,12,23.88
New York,40.6943,-73.9249,2018,8,13,24.14
New York,40.6943,-73.9249,2018,8,14,25.28
New York,40.6943,-73.9249,2018,8,15,27.6
New York,40.6943,-73.9249,2018,8,16,27.55
New York,40.6943,-73.9249,2018,8,17,26.06
New York,40.6943,-73.9249,2018,8,18,22.51
New York,40.6943,-73.9249,2018,8,19,21.85
New York,40.6943,-73.9249,2018,8,20,22.15
New York,40.6943,-73.9249,2018,8,21,24.59
New York,40.6943,-73.9249,2018,8,22,22.99
New York,40.6943,-73.9249,2018,8,23,22.9
New York,40.6943,-73.9249,2018,8,24,22.69
New York,40.6943,-73.9249,2018,8,25,23.2
New York,40.6943,-73.9249,2018,8,26,26.13
New York,40.6943,-73.9249,2018,8,27,28.65
New York,40.6943,-73.9249,2018,8,28,29.41
New York,40.6943,-73.9249,2018,8,29,28.74
New York,40.6943,-73.9249,2018,8,30,23.94
New York,40.6943,-73.9249,2018,8,31,22.31
New York,40.6943,-73.9249,2018,9,1,23.02
New York,40.6943,-73.9249,2018,9,2,26.31
New York,40.6943,-73.9249,2018,9,3,27.9
New York,40.6943,-73.9249,2018,9,4,27.15
New York,40.6943,-73.9249,2018,9,5,27.6
New York,40.6943,-73.9249,2018,9,6,23.9
New York,40.6943,-73.9249,2018,9,7,20.83
New York,40.6943,-73.9249,2018,9,8,16.29
New York,40.6943,-73.9249,2018,9,9,16.42
New York,40.6943,-73.9249,2018,9,10,20.18
New York,40.6943,-73.9249,2018,9,11,23.21
New York,40.6943,-73.9249,2018,9,12,22.62
New York,40.6943,-73.9249,2018,9,13,21.8
New York,40.6943,-73.9249,2018,9,14,21.9
New York,40.6943,-73.9249,2018,9,15,22.24
New York,40.6943,-73.9249,2018,9,16,22.57
New York,40.6943,-73.9249,2018,9,17,24.15
New York,40.6943,-73.9249,2018,9,18,22.76
New York,40.6943,-73.9249,2018,9,19,20.42
New York,40.6943,-73.9249,2018,9,20,20.78
New York,40.6943,-73.9249,2018,9,21,21.66
New York,40.6943,-73.9249,2018,9,22,17.28
New York,40.6943,-73.9249,2018,9,23,17.28
New York,40.6943,-73.9249,2018,9,24,18.45
New York,40.6943,-73.9249,2018,9,25,23.17
New York,40.6943,-73.9249,2018,9,26,20.22
New York,40.6943,-73.9249,2018,9,27,17.21
New York,40.6943,-73.9249,2018,9,28,17.89
New York,40.6943,-73.9249,2018,9,29,17.3
New York,40.6943,-73.9249,2018,9,30,19.38
New York,40.6943,-73.9249,2018,10,1,21.13
